business_id|cuisine
uiQ6p_3biJD5S4PrF58t_g|Chinese
wzmeaMTm5cZ1JCjep7iQeA|Chinese
SBJHGtqJyfaU47NPjGAU6A|Chinese
LQHegfNHe7ylY3bocrFlpg|Chinese
_saXnBy0Wq2Gb3YusWZhqw|Chinese
MdDj13LgIs0WdbIdiyqB7Q|Chinese
kwq1W0opBnOYKoUXWYyQ5g|Chinese
xLJnT-pB4VECJzmUf1Whpg|Chinese
riEXluKIJm3Behd9WA5Y5w|Chinese
u0qfikB-ppp6UwoNKqxlRw|Chinese
z5f--L8_vB_WvSaRca7LQQ|Chinese
f7jZvRH-h76F4emzvKytaQ|Chinese
-OixbLnFLCzQclxCSbUQ8w|Chinese
ynIx549QFj29o84y1RSGyw|Chinese
BKMCAYb9EAivUm3p-vrC9w|Chinese
85wkGMKbHV0RdTGIWpep5A|Chinese
Dqp5Itsj9dN0Ewz8Gm853g|Chinese
gJXNSJ9VXTuCFmp_Kl9TVQ|Chinese
HOfNVzn45dwctTOCLVPj2g|Chinese
0eLtFI6MeEYM2rlMtcjRaQ|Chinese
44SY464xDHbvOcjDzRbKkQ|Chinese
uaFHoq-a5XqxF-bsOK9_Qg|Chinese
U74_3F7r3tMhd6dmTmDBxQ|Chinese
f_vDVYSk-VUnlGTvgtBwkQ|Chinese
rBUTVjRs5CcEMe3dfVRZJQ|Chinese
3gqKLANaXNsHZnPDjKrcTg|Chinese
WRPJeH3goSpj5ke3Pkrnfw|Chinese
g512kssHLLTdDbUJHTmJFw|Chinese
8ZBbl3VN-cu6PFOL0D7-8A|Chinese
jwKPVep2qZYBUA6SLLQPvg|Chinese
a93NwZxjkPQydJxR42oPyg|Chinese
8ig0yf0003DAp4YOGTlbVg|Chinese
VDbMrjBq-XAKZTS_cgB9_A|Chinese
Dqu-5RxNbbpBsL1Ssht9Ng|Chinese
7Qvh0oFRsoqrO9qNlcMKXQ|Chinese
CqQ2Og9kf-LhlUWtODalCQ|Chinese
JaKLZrh1Y_2qB_0Gc3bk3A|Chinese
_7GunmWHykEJ5_u2zkX1gg|Chinese
rYw5rQbWRX9buZHZbxqWdA|Chinese
EN9_LsFpY44Hkzcnu0jfIg|Chinese
slMRh4GEu5Mg53kicgmf4g|Chinese
kBZggrnSP1kcUMnsnfkTaQ|Chinese
6lUsFj0KCao678o9L7QwUw|Chinese
mIbmzqQ473BUF8cngXXs_Q|Chinese
6kCo3xb87Sc3Aa5ZSWzNnw|Chinese
gcEMZjjqy5Ucnv_5Pv-q1g|Chinese
xZ96vaoL-cQjfotmUKtjJQ|Chinese
wurhcLKXD4YJ5XfTxpbE5Q|Chinese
HZWHBfeuP4Fb6y8b8uqnbA|Chinese
-2FAuHbWsc_rxuSaeYAhCw|Chinese
vZgJyMZlpSSS_Y-duxd4_A|Chinese
BbODF2tZuw4xW_RFwMzwRg|Chinese
ZiGeqmXH55hVegpqnqoznw|Chinese
Lp8vAE5nHSt5zbu-lSGK8A|Chinese
